No,Food Name,Calorie,Carbohidrat,Fat,Protein,Price
1,Dodol bali,298,"3,7","2,1","65,9",20000
2,Dodol galamai,348,"0,4","3,8","76,1",25000
3,Dodol kedondong,331,"1,9","7,6","63,8",15000
4,Dodol manado,373,"4,3","16,5","51,9",18000
5,Emping beras,403,"10,6","2,2","85,3",12000
6,Gemblong,274,"1,7","5,4","55,5",10000
7,Gendar goreng,407,"6,4","28,2","32,0",8000
8,Intip goreng,474,"7,6","21,6","62,3",10000
9,Jagung gerontol,156,"2,7","1,3","33,3",5000
10,Jagung titi,374,"9,4","2,2","79,1",7000
11,Kue bangen,442,"3,3","14,7","74,2",6000
12,Kue gelang,448,"5,8","16,1","70,0",7000
13,Kue jahe,425,"1,6","8,8","84,6",8000
14,Kue kelapa,591,"5,6","42,1","47,5",9000
15,Kue koa,340,"4,8","0,4","79,3",10000
16,Kue ku temu,214,"3,5","0,2","49,6",8000
17,Kue lumpur,291,"3,6","11,1","44,1",6000
18,Kue pelita,141,"5,3","5,5","17,6",7000
19,Kue putu cangkir,304,"5,3","7,0","54,9",9000
20,Kue sus,221,"7,5","10,2","24,8",5000
21,Kue thipan,247,"2,9","4,2","49,5",6000
22,Martabak india,153,"4,5","4,2","24,3",25000
23,Martabak mesir,278,"5,1","8,6","45,0",30000
24,Putri selat,163,"2,2","6,5","23,8",15000
25,Putu sopa,215,"3,3","4,1","41,1",12000
26,Renggi goreng,471,"4,7","21,8","64,1",7000
27,Roti boong,341,"5,5","16,2","43,3",10000
28,Roti warna sawo matang,249,"7,9","1,5","49,7",9000
29,Sarimuka,166,"2,3","2,8","32,9",8000
30,Getuk pisang,144,"1,1","0,4","34,1",12000
31,Tapai beras,99,"1,7","0,3","22,4",15000
32,Misoa,345,"8,5","2,2","78,0",12000
33,Roti putih,248,"8,0","1,2","50,0",3000
34,Amparan tatak,191,"1,3","5,5","34,0",8000
35,"Apang kukus, kue",202,"3,0","0,3","46,7",5000
36,"Apem, kue",148,"2,0","0,5","33,9",6000
37,Biskuit,458,"6,9","14,4","75,1",4000
38,"Bakpia, kue",272,"8,7","6,7","44,1",10000
39,Bakwan,280,"8,2","10,2","39,0",7000
40,Bika ambon,199,"2,1","1,5","44,4",25000
41,Bingka,273,"5,3","10,6","39,1",12000
42,Bobengka,225,"5,3","2,6","45,2",9000
43,Bolu peca,197,"3,3","4,6","35,6",8000
44,Brem,249,"3,4","0,4","58,0",10000
45,Bubur tinotuan (Manado),156,"2,3","0,2","15,6",15000
46,Cake tape,323,"4,9","11,5","50,1",20000
47,Cangkuning,204,"2,8","7,5","31,4",5000
48,Jagung gerontol,156,"2,7","1,3","33,3",5000
49,Jagung titi,374,"9,4","2,2","79,1",7000
50,"Kelepon, kue",215,"3,7","3,7","41,8",6000
51,Kereput,580,"4,8","39,6","51,1",8000
52,Keripik gadung,446,"2,8","14,5","76,0",10000
53,Keripik kentang,448,"2,7","18,8","67,1",15000
54,Keripik singkong,478,"0,9","20,7","72,0",12000
55,Keripik singkong berbumbu,481,"2,2","19,7","73,6",15000
56,Keripik ubi,486,"0,2","23,9","67,6",13000
57,Kerupuk cumi goreng,444,"6,9","14,6","71,3",18000
58,Kerupuk kemplang (ikan) mentah,325,"1,8","0,4","78,5",16000
59,Kerupuk kemplang goreng,504,"5,6","28,1","57,1",18000
60,Kerupuk kemplang panggang,356,"9,7","1,1","76,9",20000
61,Kerupuk mie kuning goreng,476,"0,1","21,1","71,3",10000
62,Kerupuk udang goreng,477,"4,7","20,5","68,5",12000
63,Kue bangket,338,"1,5","1,2","80,3",8000
64,Kue putu singkong,217,"1,2","0,5","53,2",9000
65,"Kacang bogor, rebus",161,"7,7","2,8","27,1",5000
66,"Kacang gude, rebus",147,"9,0","0,5","27,5",6000
67,"Kacang hijau, rebus",109,"8,7","0,5","18,3",4000
68,"Kacang kedelai, goreng",521,"32,2","37,7","22,9",7000
69,"Kacang kedelai, rebus",189,"20,2","8,2","12,7",5000
70,"Kacang merah kering, rebus",158,"10,3","0,9","28,2",6000
71,"Kacang merah segar, rebus",144,"10,0","1,0","24,7",5000
72,"Kacang mete/biji jambu monyet, goreng",629,"20,4","56,3","19,8",12000
73,Kacang tanah rebus dg kulit,360,"13,5","31,2","12,8",3000
74,"Kacang tanah, goreng",564,"25,5","44,4","25,5",5000
75,"Kacang tanah, rebus",220,"10,6","18,0","8,0",4000
76,"Kacang tolo / tunggak, rebus",138,"10,7","1,1","22,6",6000
77,Emping (kerupuk melinjo),345,"12,0","1,5","71,5",10000
78,Tahu goreng,115,"9,7","8,5","2,5",5000
79,"Bayam, rebus",23,"1,2","0,6","3,7",3000
80,"Buncis, rebus",30,"2,2","0,2","6,4",4000
81,"Daun kacang panjang, kukus",40,"3,7","0,3","8,0",6000
82,"Daun katuk, rebus",53,"5,3","0,9","9,1",5000
83,"Daun kelor, rebus",61,"6,1","0,9","10,0",4000
84,"Daun mengkudu, kukus",63,"3,8","1,5","11,5",6000
85,"Daun singkong, rebus",31,"3,7","0,6","4,8",3000
86,"Daun talas, rebus",27,"1,3","0,2","5,9",4000
87,"Daun ubi merah, kukus",56,"3,1","0,3","13,0",5000
88,"Kacang panjang, kukus",39,"3,0","0,6","7,6",7000
89,"Kacang panjang, rebus",30,"2,3","0,4","5,8",6000
90,"Kangkung, kukus",30,"3,2","0,7","4,7",4000
91,"Kangkung, rebus",22,"2,5","0,6","3,1",3000
92,"Paria putih, kukus",16,"0,8","0,2","3,4",8000
93,"Selada, rebus",19,"2,7","0,2","2,9",5000
94,"Taoge, goreng",88,"3,2","2,1","14,0",6000
95,"Taoge, seduh",28,"3,0","0,8","4,0",4000
96,"Terung panjang, kukus",23,"1,8","0,1","4,9",7000
97,"Wortel, rebus",28,"0,7","0,5","6,3",3000
98,"Wortel, kukus",37,"1,0","0,6","8,3",4000
99,"Asinan Bogor, sayuran",98,"3,9","2,6","14,8",10000
100,"Langsat, segar",56,"0,9","0,2","14,3",15000
101,"Lemon, segar",34,"0,5","0,8","6,2",8000
102,"Lontar, segar",27,"0,4","0,2","6,0",5000
103,"Mangga, segar",52,"0,7",,"12,3",5000
104,"Mangga benggala, segar",63,"2,4","0,4","12,4",6000
105,"Mangga gedung, segar",44,"0,7","0,2","11,2",7000
106,"Mangga golek, segar",63,"0,5","0,2","16,7",8000
107,"Mangga harumanis, segar",46,"0,4","0,2","11,9",10000
108,"Mangga indramayu, segar",72,"0,8","0,2","18,7",9000
109,"Mangga kopek, segar",56,"0,4","0,2","14,6",7000
110,"Mangga kwini, segar",86,"0,7","0,5","19,8",8000
111,"Mangga manalagi, segar",133,"1,0","0,1","32,1",12000
112,"Mangga muda, segar",59,"0,5","0,4","15,1",6000
113,"Manggis, segar",63,"0,6","0,6","15,6",5000
114,"Markisa, segar",144,"3,5","1,2","29,8",4000
115,"Matoa, segar",90,"1,2","0,1","21,1",15000
116,"Melon, segar",37,"0,6","0,4","7,8",10000
117,"Menteng, segar",65,"1,7","0,3","16,1",7000
118,"Nanas palembang, segar",58,"0,7","0,2","13,3",6000
119,"Nanas, segar",40,"0,6","0,3","9,9",5000
120,"Nangka masak pohon, segar",106,"1,2","0,3","27,6",10000
